Date,High,Low,Mid,Last,Bid,Ask,Volume,First
2022-05-05,0.0,0.0,2.36,2.36,2.36,2.36,0.1,
2022-05-06,0.0,0.0,2.36,2.36,2.36,2.36,0.1,2.36
2022-05-07,0.0,0.0,2.36,2.36,2.36,2.36,0.1,2.36
2022-05-08,0.0,0.0,2.36,2.36,2.36,2.36,0.1,2.36
2022-05-09,0.0,0.0,2.36,2.36,2.36,2.36,0.1,2.36
2022-05-10,0.0,0.0,2.36,2.36,2.36,2.36,0.1,2.36
2022-05-11,1.633,1.1045,1.29815,1.2963,1.2925,1.3038,36291.31844906,2.36
2022-05-12,1.3999,0.9857,1.10115,1.1071,1.0975,1.1048,107097.49246081,1.2963
2022-05-13,1.5262,1.0962,1.2762,1.2773,1.2743,1.2781,97954.6980893,1.1071
2022-05-14,1.5272,1.1977,1.36835,1.363,1.3662,1.3705,39559.52025044,1.2773
2022-05-15,1.4525,1.3123,1.4125,1.398,1.4077,1.4173,46530.64648106,1.363
2022-05-16,1.4588,1.2855,1.3226,1.3216,1.3206,1.3246,33220.35107008,1.398
2022-05-17,1.4025,1.2863,1.37485,1.3749,1.3724,1.3773,36865.36665344,1.3216
2022-05-18,1.3911,1.1993,1.2206,1.2211,1.2196,1.2216,46149.15105415,1.3749
2022-05-19,1.3454,1.1405,1.28935,1.2929,1.2884,1.2903,74328.90001097,1.2211
2022-05-20,1.3811,1.2196,1.2916,1.2936,1.2896,1.2936,67461.33785048,1.2929
2022-05-21,1.3443,1.2485,1.32595,1.3259,1.3241,1.3278,16503.52118837,1.2936
2022-05-22,1.398,1.3143,1.3904,1.3911,1.3897,1.3911,30144.66629658,1.3259
2022-05-23,1.4506,1.2736,1.28485,1.2782,1.2837,1.286,43875.3246464,1.3911
2022-05-24,1.3271,1.2225,1.3126,1.3111,1.3111,1.3141,25667.90460912,1.2782
2022-05-25,1.4172,1.2385,1.39775,1.3941,1.396,1.3995,38917.04856653,1.3111
2022-05-26,1.5105,1.2562,1.3836,1.3842,1.3817,1.3855,83604.39177067,1.3941
2022-05-27,1.3831,1.2552,1.29775,1.2969,1.2968,1.2987,53410.86351727,1.3842
2022-05-28,1.33,1.2691,1.2987,1.2969,1.2969,1.3005,21263.38848058,1.2969
2022-05-29,1.313,1.2587,1.3102,1.3124,1.3082,1.3122,13238.70107479,1.2969
2022-05-30,1.4667,1.2967,1.4463,1.4447,1.4447,1.4479,21683.22140575,1.3124
2022-05-31,1.5221,1.3799,1.45995,1.4561,1.4583,1.4616,58649.24190083,1.4447
2022-06-01,1.464,1.2866,1.3287,1.3296,1.3277,1.3297,53352.27426168,1.4561
2022-06-02,1.3682,1.3004,1.3698,1.3682,1.368,1.3716,26803.94355001,1.3296
2022-06-03,1.375,1.2692,1.298,1.2945,1.2965,1.2995,16955.48884868,1.3682
2022-06-04,1.3071,1.2555,1.29065,1.2907,1.2881,1.2932,16270.00998885,1.2945
2022-06-05,1.3106,1.2707,1.29605,1.2953,1.2943,1.2978,14357.30722448,1.2907
2022-06-06,1.4014,1.2926,1.348,1.3468,1.3467,1.3493,29058.69347875,1.2953
2022-06-07,1.3501,1.2618,1.31125,1.3079,1.3096,1.3129,20750.5235128,1.3468
2022-06-08,1.3351,1.2799,1.3036,1.3015,1.3025,1.3047,12510.8151494,1.3079
2022-06-09,1.3239,1.2828,1.2905,1.288,1.2894,1.2916,12070.18242462,1.3015
2022-06-10,1.2999,1.1941,1.2048,1.204,1.204,1.2056,15987.47491767,1.288
2022-06-11,1.2124,1.0553,1.07755,1.0768,1.0768,1.0783,54345.22133665,1.204
2022-06-12,1.0807,0.95213,0.97297,0.97095,0.97153,0.97441,62728.67984666,1.0768
2022-06-13,0.97484,0.79051,0.84133,0.84339,0.83982,0.84284,75181.38113887,0.97095
2022-06-14,0.96035,0.78329,0.871705,0.87056,0.87069,0.87272,77663.09335853,0.84339
2022-06-15,0.9481,0.79099,0.95043,0.9481,0.94901,0.95185,40718.14340118,0.87056
2022-06-16,0.97509,0.82007,0.822615,0.82214,0.82214,0.82309,53676.0147379,0.9481
2022-06-17,0.8886,0.81801,0.859235,0.86031,0.85817,0.8603,40091.92700986,0.82214
2022-06-18,0.86592,0.73583,0.796425,0.7956,0.79495,0.7979,32131.02667657,0.86031
2022-06-19,0.91407,0.7609,0.845455,0.84415,0.84441,0.8465,63270.1446531,0.7956
2022-06-20,0.88703,0.81071,0.85659,0.8555,0.8554,0.85778,44802.59277528,0.84415
2022-06-21,0.96318,0.8532,0.91567,0.91734,0.91504,0.9163,53290.54743866,0.8555
2022-06-22,1.0096,0.86401,0.944745,0.945,0.94419,0.9453,79393.64184731,0.91734
2022-06-23,1.0276,0.93378,1.0067,1.0074,1.0053,1.0081,68129.37567151,0.945
2022-06-24,1.1101,1.0095,1.0948,1.0922,1.0935,1.0961,63426.55475334,1.0074
2022-06-25,1.322,1.0806,1.2721,1.2749,1.2701,1.2741,72856.70615982,1.0922
2022-06-26,1.3462,1.19,1.19625,1.1982,1.1952,1.1973,54907.92281434,1.2749
2022-06-27,1.2618,1.1469,1.2016,1.1993,1.2008,1.2024,30987.36272155,1.1982
2022-06-28,1.2294,1.0747,1.08595,1.0848,1.0848,1.0871,32847.94049259,1.1993
2022-06-29,1.1003,1.0239,1.05455,1.0517,1.0525,1.0566,37054.76841128,1.0848
2022-06-30,1.0951,0.95448,1.07325,1.0722,1.0722,1.0743,66967.80796674,1.0517
2022-07-01,1.1692,1.0582,1.07615,1.0782,1.0742,1.0781,53098.59083502,1.0722
2022-07-02,1.0804,1.0062,1.04425,1.0468,1.0431,1.0454,30675.51494133,1.0782
2022-07-03,1.0525,1.0078,1.04265,1.0431,1.0413,1.044,33773.74517711,1.0468
2022-07-04,1.2184,1.035,1.2058,1.2113,1.203,1.2086,38845.08105298,1.0431
2022-07-05,1.2281,1.1051,1.1929,1.1929,1.1919,1.1939,49111.69166478,1.2113
2022-07-06,1.2827,1.1515,1.26865,1.2704,1.2672,1.2701,54673.40288208,1.1929
2022-07-07,1.3139,1.24,1.28055,1.281,1.2801,1.281,32023.40689462,1.2704
2022-07-08,1.3114,1.2054,1.2434,1.2432,1.2409,1.2459,29766.6408929,1.281
2022-07-09,1.2438,1.2172,1.23155,1.2315,1.2305,1.2326,10619.64561219,1.2432
2022-07-10,1.2276,1.1481,1.15985,1.1604,1.1596,1.1601,15333.2031338,1.2315
2022-07-11,1.1643,1.0839,1.09585,1.0949,1.0948,1.0969,29271.297161,1.1604
2022-07-12,1.1492,1.0889,1.10675,1.1051,1.1052,1.1083,31639.21710136,1.0949
2022-07-13,1.1667,1.0509,1.1629,1.1639,1.1618,1.164,32172.46780325,1.1051
2022-07-14,1.2169,1.1179,1.19735,1.1978,1.1961,1.1986,43929.5327088,1.1639
2022-07-15,1.2294,1.1727,1.2097,1.2114,1.2083,1.2111,24690.74353306,1.1978
2022-07-16,1.2703,1.1949,1.24985,1.2492,1.2492,1.2505,34454.05959552,1.2114
2022-07-17,1.2644,1.1764,1.19055,1.1898,1.1902,1.1909,25755.02591969,1.2492
2022-07-18,1.3957,1.1773,1.3857,1.3853,1.3831,1.3883,75569.70401656,1.1898
2022-07-19,1.47,1.3402,1.43275,1.4361,1.4305,1.435,88848.75874363,1.3853
2022-07-20,1.4922,1.3044,1.32235,1.3196,1.3212,1.3235,73966.38244364,1.4361
2022-07-21,1.3947,1.2761,1.3831,1.3843,1.3819,1.3843,44091.60748932,1.3196
2022-07-22,1.5254,1.319,1.3348,1.3347,1.3347,1.3349,82849.50031837,1.3843
2022-07-23,1.3896,1.2941,1.34695,1.3485,1.3455,1.3484,42615.4457958,1.3347
2022-07-24,1.381,1.3214,1.34315,1.3423,1.3423,1.344,25128.26060941,1.3485
2022-07-25,1.3511,1.2247,1.24235,1.2432,1.2415,1.2432,24091.75791305,1.3423
2022-07-26,1.2401,1.1315,1.1682,1.1683,1.1678,1.1686,42421.09579106,1.2432
2022-07-27,1.3129,1.154,1.3034,1.3016,1.3024,1.3044,26284.28356615,1.1683
2022-07-28,1.3887,1.2647,1.3554,1.3551,1.3551,1.3557,53022.35793316,1.3016
2022-07-29,1.4065,1.2934,1.3594,1.3569,1.3572,1.3616,39724.94612114,1.3551
2022-07-30,1.4295,1.31,1.32065,1.3197,1.3197,1.3216,38036.0580448,1.3569
2022-07-31,1.3858,1.2985,1.304,1.3021,1.3027,1.3053,24165.17345095,1.3197
2022-08-01,1.3456,1.2732,1.3165,1.3164,1.3154,1.3176,32471.37782588,1.3021
2022-08-02,1.3451,1.2458,1.28035,1.282,1.2788,1.2819,28297.50707343,1.3164
2022-08-03,1.3196,1.231,1.2609,1.2573,1.2581,1.2637,20021.54562896,1.282
2022-08-04,1.3418,1.2544,1.2921,1.2934,1.2909,1.2933,25769.33782314,1.2573
2022-08-05,1.3652,1.2915,1.33435,1.3356,1.3331,1.3356,27941.13263491,1.2934
2022-08-06,1.3698,1.32,1.3208,1.32,1.32,1.3216,16472.50099713,1.3356
2022-08-07,1.3418,1.2895,1.3163,1.3154,1.3154,1.3172,7499.22840696,1.32
2022-08-08,1.3882,1.3153,1.3523,1.353,1.3516,1.353,22570.63486716,1.3154
2022-08-09,1.3817,1.2637,1.2948,1.294,1.2936,1.296,20262.90572206,1.353
2022-08-10,1.3465,1.2595,1.33875,1.3386,1.3376,1.3399,8026.7640978,1.294
2022-08-11,1.3688,1.3167,1.32215,1.3221,1.3207,1.3236,20562.5852573,1.3386
2022-08-12,1.3273,1.285,1.3247,1.3232,1.3234,1.326,15959.28689903,1.3221
2022-08-13,1.3867,1.3185,1.32575,1.3252,1.3252,1.3263,18496.76717177,1.3232
2022-08-14,1.429,1.3068,1.3393,1.3394,1.3381,1.3405,31816.36632745,1.3252
2022-08-15,1.3978,1.2833,1.29235,1.2949,1.2904,1.2943,12916.65865595,1.3394
2022-08-16,1.3231,1.2609,1.27585,1.2759,1.2755,1.2762,72042.83556166,1.2949
2022-08-17,1.3107,1.2077,1.21655,1.2167,1.2164,1.2167,7749.82800463,1.2759
2022-08-18,1.241,1.1151,1.14085,1.1381,1.1378,1.1439,14002.69694764,1.2167
2022-08-19,1.1897,1.0361,1.05465,1.0553,1.0535,1.0558,29932.04839575,1.1381
2022-08-20,1.0779,1.0077,1.03865,1.0374,1.0374,1.0399,13630.78602042,1.0553
2022-08-21,1.0828,1.0292,1.07455,1.0773,1.0733,1.0758,9727.01423655,1.0374
2022-08-22,1.0789,1.0118,1.0363,1.0358,1.0351,1.0375,7967.16276207,1.0773
2022-08-23,1.1386,1.0175,1.06515,1.0658,1.0643,1.066,35501.437185920004,1.0358
2022-08-24,1.0747,1.0294,1.0546,1.055,1.0532,1.056,10179.80660926,1.0658
2022-08-25,1.0715,1.0337,1.0498,1.0511,1.0487,1.0509,6237.11915317,1.055
2022-08-26,1.057,0.95978,0.96238,0.95978,0.96077,0.96399,32921.02961771,1.0511
2022-08-27,0.97076,0.94002,0.966535,0.96454,0.96434,0.96873,6669.50476111,0.95978
2022-08-28,0.97698,0.95064,0.95626,0.95464,0.95464,0.95788,6151.98234464,0.96454
2022-08-29,0.98283,0.91786,0.981555,0.97992,0.98051,0.9826,12521.26052313,0.95464
2022-08-30,1.0007,0.93347,0.95076,0.95339,0.95043,0.95109,14383.8990342,0.97992
2022-08-31,0.97928,0.9387,0.947085,0.94669,0.94549,0.94868,12170.10817794,0.95339
2022-09-01,0.94762,0.90845,0.937945,0.93712,0.93721,0.93868,13912.52197654,0.94669
2022-09-02,0.95679,0.9175,0.92928,0.92841,0.92871,0.92985,8596.87946367,0.93712
2022-09-03,0.93193,0.91361,0.927665,0.92802,0.92711,0.92822,5484.19360061,0.92841
2022-09-04,0.97687,0.92134,0.963295,0.96219,0.96254,0.96405,12182.81333457,0.92802
2022-09-05,0.98491,0.93866,0.95399,0.9536,0.95343,0.95455,35383.18266825,0.96219
