Date,High,Low,Mid,Last,Volume,First
2017-08-17,312.18,298.0,305.09000000000003,302.0,7030.71034,
2017-08-18,311.79,283.94,297.865,293.96,9537.84646,302.0
2017-08-19,299.9,278.0,288.95,290.91,2146.19773,293.96
2017-08-20,300.53,282.85,291.69,299.1,2510.13871,290.91
2017-08-21,346.52,294.6,320.56,323.29,5219.44542,299.1
2017-08-22,330.41,144.21,237.31,309.8,7956.35088,323.29
2017-08-23,324.99,309.41,317.20000000000005,315.74,8665.72569,309.8
2017-08-24,328.04,314.01,321.025,323.42,6753.27192,315.74
2017-08-25,338.28,323.42,330.85,327.24,7125.96962,323.42
2017-08-26,335.44,323.41,329.425,330.79,4877.68521,327.24
2017-08-27,348.13,330.73,339.43,348.13,4635.43715,330.79
2017-08-28,351.0,331.95,341.475,346.0,4279.1817,348.13
2017-08-29,377.6,346.0,361.8,374.7,3032.13425,346.0
2017-08-30,393.71,362.05,377.88,385.93,4446.59608,374.7
2017-08-31,389.36,377.78,383.57,384.79,4435.86855,385.93
2017-09-01,394.39,383.18,388.78499999999997,388.46,4198.68434,384.79
2017-09-02,394.32,320.08,357.2,343.14,8240.32724,388.46
2017-09-03,367.28,320.08,343.67999999999995,341.77,5253.62211,343.14
2017-09-04,344.55,267.94,306.245,283.77,6737.81061,341.77
2017-09-05,321.52,235.55,278.53499999999997,312.09,8344.41924,283.77
2017-09-06,336.34,312.09,324.215,335.0,5486.30988,312.09
2017-09-07,342.5,320.17,331.33500000000004,334.49,3103.89745,335.0
2017-09-08,335.1,272.0,303.55,302.99,4915.75693,334.49
2017-09-09,307.0,281.66,294.33000000000004,296.74,2740.58822,302.99
2017-09-10,302.78,261.03,281.905,293.5,4156.45099,296.74
2017-09-11,304.98,285.21,295.095,297.3,4829.64647,293.5
2017-09-12,316.46,286.01,301.235,293.96,5176.31402,297.3
2017-09-13,294.5,257.05,275.775,276.91,6451.22836,293.96
2017-09-14,283.77,215.0,249.385,215.21,12601.95676,276.91
2017-09-15,270.93,192.0,231.465,253.0,14223.8953,215.21
2017-09-16,271.81,235.51,253.66,249.31,10362.06011,253.0
2017-09-17,264.39,239.02,251.70499999999998,257.55,4614.53337,249.31
2017-09-18,306.22,257.11,281.665,294.57,4125.97051,257.55
2017-09-19,300.0,277.41,288.70500000000004,284.0,1869.90852,294.57
2017-09-20,294.0,275.91,284.95500000000004,282.0,1060.56734,284.0
2017-09-21,287.0,252.1,269.55,257.0,1912.55583,282.0
2017-09-22,272.97,253.01,262.99,264.0,1464.5125,257.0
2017-09-23,286.23,255.11,270.67,285.93,2824.33572,264.0
2017-09-24,294.61,275.0,284.805,282.0,5575.54422,285.93
2017-09-25,299.0,281.34,290.16999999999996,294.42,5870.48035,282.0
2017-09-26,296.81,286.24,291.525,287.9,4566.92804,294.42
2017-09-27,313.0,286.13,299.565,309.74,5518.10382,287.9
2017-09-28,311.81,296.89,304.35,302.44,6600.90922,309.74
2017-09-29,303.0,274.0,288.5,292.22,11089.19902,302.44
2017-09-30,307.49,292.22,299.855,304.36,4020.60795,292.22
2017-10-01,306.0,294.0,300.0,303.95,5060.05758,304.36
2017-10-02,305.0,295.0,300.0,296.5,3710.83747,303.95
2017-10-03,301.99,283.18,292.58500000000004,292.48,5546.85702,296.5
2017-10-04,297.97,288.0,292.985,291.99,4014.88792,292.48
2017-10-05,297.44,285.53,291.485,294.81,3412.39016,291.99
2017-10-06,310.8,293.78,302.28999999999996,310.8,3541.02359,294.81
2017-10-07,318.5,303.6,311.05,311.01,2165.79076,310.8
2017-10-08,317.07,309.0,313.03499999999997,311.07,2960.93198,311.01
2017-10-09,312.13,286.65,299.39,297.19,4885.37863,311.07
2017-10-10,308.56,293.0,300.78,298.64,6749.27468,297.19
2017-10-11,305.5,298.02,301.76,304.01,3724.6863,298.64
2017-10-12,310.0,302.71,306.355,303.99,7827.75596,304.01
2017-10-13,353.96,297.0,325.48,337.96,17925.36585,303.99
2017-10-14,349.8,335.0,342.4,342.0,7731.96469,337.96
2017-10-15,348.0,316.17,332.08500000000004,337.96,10011.34708,342.0
2017-10-16,354.0,332.78,343.39,335.19,8663.47097,337.96
2017-10-17,336.58,312.65,324.615,315.19,8146.74356,335.19
2017-10-18,318.0,284.68,301.34000000000003,309.7,12908.0454,315.19
2017-10-19,315.0,300.0,307.5,308.66,8678.74739,309.7
2017-10-20,311.18,302.0,306.59000000000003,304.51,8739.31764,308.66
2017-10-21,305.34,290.0,297.66999999999996,298.94,8591.63121,304.51
2017-10-22,306.99,290.0,298.495,293.79,7173.06893,298.94
2017-10-23,294.6,272.2,283.4,281.09,9658.78404,293.79
2017-10-24,310.0,275.5,292.75,297.38,14066.67924,281.09
2017-10-25,300.0,281.0,290.5,294.49,9703.09261,297.38
2017-10-26,299.76,291.03,295.395,294.71,7813.02717,294.49
2017-10-27,298.1,292.03,295.065,296.33,6272.14802,294.71
2017-10-28,297.0,290.1,293.55,291.87,5848.86589,296.33
2017-10-29,309.4,291.86,300.63,305.0,9019.13315,291.87
2017-10-30,316.0,302.1,309.05,307.25,8946.12026,305.0
2017-10-31,309.99,304.01,307.0,304.9,7640.41182,307.25
2017-11-01,305.9,286.34,296.12,287.01,9843.1666,304.9
2017-11-02,293.0,274.73,283.865,283.12,13423.8572,287.01
2017-11-03,307.0,282.0,294.5,304.08,8194.03465,283.12
2017-11-04,304.99,292.11,298.55,298.04,7828.41744,304.08
2017-11-05,302.14,293.13,297.635,295.53,6638.42119,298.04
2017-11-06,305.58,290.11,297.845,297.97,7515.50103,295.53
2017-11-07,303.52,287.0,295.26,291.78,9418.57881,297.97
2017-11-08,320.0,290.02,305.01,303.02,15961.85772,291.78
2017-11-09,329.0,299.5,314.25,317.87,11151.29946,303.02
2017-11-10,322.65,285.82,304.235,293.5,15597.16557,317.87
2017-11-11,318.0,291.91,304.95500000000004,310.02,10850.16279,293.5
2017-11-12,316.99,281.01,299.0,305.24,21123.15319,310.02
2017-11-13,318.88,303.7,311.28999999999996,312.99,15551.67434,305.24
2017-11-14,337.54,312.94,325.24,335.61,17709.2227,312.99
2017-11-15,339.0,324.0,331.5,331.33,15597.16131,335.61
2017-11-16,334.75,321.41,328.08000000000004,331.49,14145.71696,331.33
2017-11-17,334.6,323.84,329.22,331.23,18042.02544,331.49
2017-11-18,349.9,326.01,337.955,346.66,14361.4973,331.23
2017-11-19,373.56,343.07,358.315,354.15,19397.74898,346.66
2017-11-20,372.5,353.9,363.2,367.42,18277.0194,354.15
2017-11-21,375.5,350.02,362.76,362.12,26237.64398,367.42
2017-11-22,384.84,359.0,371.91999999999996,380.65,18121.58484,362.12
2017-11-23,425.0,370.02,397.51,405.0,25409.00111,380.65
2017-11-24,475.0,392.8,433.9,469.0,30398.35831,405.0
2017-11-25,484.47,450.0,467.235,461.82,21428.63117,469.0
2017-11-26,465.0,436.14,450.57,462.84,21691.11759,461.82
2017-11-27,486.94,453.0,469.97,472.31,23761.11416,462.84
2017-11-28,477.5,453.5,465.5,466.17,23967.24816,472.31
2017-11-29,515.0,385.0,450.0,421.7,51313.49571,466.17
2017-11-30,460.0,387.01,423.505,427.43,45184.22265,421.7
2017-12-01,465.97,413.74,439.855,457.51,33072.21995,427.43
2017-12-02,471.91,445.0,458.45500000000004,457.63,25796.14,457.51
2017-12-03,485.9,440.11,463.005,460.3,24490.05997,457.63
2017-12-04,470.98,445.0,457.99,466.67,23182.65949,460.3
2017-12-05,468.67,445.21,456.94,452.26,25387.11695,466.67
2017-12-06,455.1,400.0,427.55,411.01,38638.76036,452.26
2017-12-07,427.61,375.01,401.31,406.33,41343.73269,411.01
2017-12-08,456.78,390.0,423.39,442.56,41064.60305,406.33
2017-12-09,488.0,426.4,457.2,460.0,41918.34044,442.56
2017-12-10,460.05,403.2,431.625,427.35,34919.25938,460.0
2017-12-11,512.0,427.35,469.675,508.7,29763.16644,427.35
2017-12-12,639.27,494.89,567.0799999999999,620.0,59387.02259,508.7
2017-12-13,705.69,539.93,622.81,683.99,57694.18773,620.0
2017-12-14,747.6,630.5,689.05,679.76,60919.26902,683.99
2017-12-15,689.0,594.6,641.8,674.95,39778.16165,679.76
2017-12-16,712.0,669.22,690.61,682.81,26866.0533,674.95
2017-12-17,728.0,680.33,704.165,707.64,31398.4476,682.81
2017-12-18,798.88,638.0,718.44,784.0,45673.70777,707.64
2017-12-19,864.9,729.01,796.9549999999999,798.0,69423.62125,784.0
2017-12-20,828.0,661.0,744.5,790.21,72526.28416,798.0
2017-12-21,845.99,705.98,775.985,782.41,78222.53998,790.21
2017-12-22,796.0,504.99,650.495,635.97,154630.49482,782.41
2017-12-23,714.99,627.97,671.48,640.34,79001.05634,635.97
2017-12-24,667.64,563.49,615.565,658.0,95431.94156,640.34
2017-12-25,744.0,599.99,671.995,714.95,78544.84102,658.0
2017-12-26,750.0,712.56,731.28,750.0,60052.47905,714.95
2017-12-27,766.05,693.18,729.615,739.89,51339.2782,750.0
2017-12-28,744.93,645.88,695.405,707.89,72679.61288,739.89
2017-12-29,757.87,703.0,730.435,733.99,64028.12647,707.89
2017-12-30,735.0,635.82,685.4100000000001,681.06,89879.99994,733.99
2017-12-31,740.0,672.86,706.4300000000001,733.98,62628.24458,681.06
2018-01-01,763.55,716.8,740.175,754.99,53909.25885,733.98
2018-01-02,899.5,749.06,824.28,855.28,113257.78355,754.99
2018-01-03,950.01,810.0,880.005,934.03,89041.45688,855.28
2018-01-04,1009.72,890.01,949.865,940.0,102894.47384,934.03
2018-01-05,1045.0,930.0,987.5,959.3,97374.0163,940.0
2018-01-06,1017.56,950.0,983.78,1004.11,71954.27895,959.3
2018-01-07,1125.0,999.9,1062.45,1123.09,65278.81957,1004.11
2018-01-08,1239.18,910.0,1074.5900000000001,1133.18,158831.54798,1123.09
2018-01-09,1326.5,1104.85,1215.675,1291.0,118702.88684,1133.18
2018-01-10,1440.0,1201.1,1320.55,1247.0,160185.0129,1291.0
2018-01-11,1332.49,1021.0,1176.745,1138.93,194546.29387,1247.0
2018-01-12,1288.5,1069.01,1178.755,1253.87,93763.47261,1138.93
2018-01-13,1427.01,1252.0,1339.505,1388.02,75893.43201,1253.87
2018-01-14,1391.89,1220.89,1306.39,1347.0,98391.19585,1388.02
2018-01-15,1383.13,1258.12,1320.625,1271.0,69236.70476,1347.0
2018-01-16,1275.01,780.0,1027.505,1000.0,343889.36509,1271.0
2018-01-17,1075.51,755.0,915.255,1000.0,436333.67326,1000.0
2018-01-18,1075.2,924.21,999.705,994.0,294545.71207,1000.0
2018-01-19,1079.0,941.0,1010.0,1032.5,167954.11253,994.0
2018-01-20,1165.4,1031.0,1098.2,1152.75,123352.58362,1032.5
2018-01-21,1152.69,998.0,1075.345,1049.0,175031.00789,1152.75
2018-01-22,1090.15,908.0,999.075,993.0,185212.52002,1049.0
2018-01-23,1030.0,909.0,969.5,980.0,160159.63958,993.0
2018-01-24,1074.0,953.09,1013.5450000000001,1061.0,134257.7947,980.0
2018-01-25,1115.0,1030.26,1072.63,1056.52,119415.93495,1061.0
2018-01-26,1082.0,986.0,1034.0,1051.03,145113.638,1056.52
2018-01-27,1127.99,1032.2,1080.095,1118.99,96894.33839,1051.03
2018-01-28,1277.0,1112.0,1194.5,1251.96,143510.73586,1118.99
2018-01-29,1258.89,1161.65,1210.27,1177.01,105292.76808,1251.96
2018-01-30,1186.85,1051.0,1118.925,1085.5,155278.55404,1177.01
2018-01-31,1135.0,1029.0,1082.0,1124.81,100372.03783,1085.5
2018-02-01,1164.99,981.0,1072.995,1041.94,203355.29052,1124.81
2018-02-02,1047.2,783.67,915.435,922.3,377375.22874,1041.94
2018-02-03,998.0,851.0,924.5,971.0,160037.88129,922.3
2018-02-04,975.0,789.0,882.0,823.56,186446.0316,971.0
2018-02-05,862.47,634.94,748.705,697.92,365516.52899,823.56
2018-02-06,798.0,570.1,684.05,779.25,648944.4204,697.92
2018-02-07,849.0,714.18,781.5899999999999,754.0,356403.4441,779.25
2018-02-08,786.93,751.0,768.9649999999999,781.66,10516.2619,754.0
2018-02-09,882.2,781.66,831.9300000000001,877.0,95447.67289,781.66
2018-02-10,911.2,800.0,855.6,851.15,214818.06768,877.0
2018-02-11,857.0,768.28,812.64,808.99,189323.408,851.15
2018-02-12,877.56,807.46,842.51,866.66,143586.93121,808.99
2018-02-13,871.0,820.0,845.5,841.57,110305.93537,866.66
2018-02-14,924.99,841.3,883.145,919.09,150342.85558,841.57
2018-02-15,946.66,895.59,921.125,924.55,155637.78524,919.09
2018-02-16,948.48,901.36,924.9200000000001,938.67,115540.16349,924.55
2018-02-17,974.0,933.48,953.74,969.99,110091.03618,938.67
2018-02-18,978.5,897.0,937.75,911.0,160129.79518,969.99
2018-02-19,956.22,906.04,931.13,938.11,80099.49534,911.0
2018-02-20,961.0,873.0,917.0,882.99,120056.67502,938.11
2018-02-21,908.88,812.87,860.875,835.89,176200.55151,882.99
2018-02-22,871.96,786.6,829.28,801.49,137561.85113,835.89
2018-02-23,885.0,785.99,835.495,851.6,154507.41338,801.49
2018-02-24,875.0,805.0,840.0,833.94,89311.5794,851.6
2018-02-25,849.5,813.18,831.3399999999999,841.19,59431.26474,833.94
2018-02-26,882.0,833.0,857.5,867.98,74911.4656,841.19
2018-02-27,897.49,860.69,879.09,870.11,63487.68425,867.98
2018-02-28,891.0,850.3,870.65,853.5,53620.45209,870.11
2018-03-01,879.96,848.65,864.3050000000001,870.63,43785.00503,853.5
2018-03-02,876.22,850.0,863.11,856.28,39436.26006,870.63
2018-03-03,870.78,852.3,861.54,856.02,34170.2942,856.28
2018-03-04,868.0,836.24,852.12,866.66,29735.01829,856.02
2018-03-05,871.75,847.2,859.475,849.84,30567.79813,866.66
2018-03-06,853.18,803.01,828.095,813.11,48658.06883,849.84
2018-03-07,826.2,718.4,772.3,749.9,109013.2838,813.11
2018-03-08,772.07,684.0,728.0350000000001,695.46,76312.77819,749.9
2018-03-09,727.92,640.0,683.96,723.71,116545.37303,695.46
2018-03-10,745.0,673.06,709.03,680.58,63012.67972,723.71
2018-03-11,735.0,659.15,697.075,720.85,73967.35869,680.58
2018-03-12,740.5,676.31,708.405,697.11,67732.85988,720.85
2018-03-13,713.76,680.0,696.88,689.94,55735.18315,697.11
2018-03-14,703.54,585.0,644.27,610.1,89904.25415,689.94
2018-03-15,621.12,570.0,595.56,608.83,94426.72453,610.1
2018-03-16,625.3,584.15,604.7249999999999,599.05,64720.20994,608.83
2018-03-17,609.26,544.0,576.63,546.95,68022.4592,599.05
2018-03-18,560.0,450.0,505.0,537.0,248817.226,546.95
2018-03-19,560.0,515.8,537.9,556.88,184798.77062,537.0
2018-03-20,567.87,515.0,541.435,557.0,135426.91549,556.88
2018-03-21,590.52,545.11,567.815,559.17,117019.17321,557.0
2018-03-22,578.6,516.0,547.3,539.92,111106.19916,559.17
2018-03-23,544.72,506.71,525.715,543.03,106416.06746,539.92
2018-03-24,545.99,518.63,532.31,520.22,87710.78945,543.03
2018-03-25,536.0,512.0,524.0,523.74,71903.1713,520.22
2018-03-26,527.67,465.56,496.615,485.0,151084.23688,523.74
2018-03-27,491.55,446.0,468.775,448.5,138188.76042,485.0
2018-03-28,466.0,440.14,453.07,446.67,89895.47885,448.5
2018-03-29,449.43,380.0,414.71500000000003,384.0,225341.94316,446.67
2018-03-30,412.04,366.0,389.02,392.43,292254.79437,384.0
2018-03-31,419.4,388.52,403.96,393.92,167833.59399,392.43
2018-04-01,399.91,356.9,378.405,378.58,150493.99422,393.92
2018-04-02,394.87,375.0,384.935,385.05,113242.14191,378.58
2018-04-03,419.08,380.13,399.605,415.01,137897.55565,385.05
2018-04-04,416.5,370.0,393.25,378.16,140598.39668,415.01
2018-04-05,387.03,365.61,376.32,381.22,120314.05875,378.16
2018-04-06,385.91,362.54,374.225,368.89,74458.69141,381.22
2018-04-07,394.75,368.28,381.515,384.51,71463.42848,368.89
2018-04-08,404.05,384.0,394.025,400.4,57395.52936,384.51
2018-04-09,431.99,387.1,409.545,399.44,151653.50413,400.4
2018-04-10,418.68,391.4,405.03999999999996,416.07,81394.29605,399.44
2018-04-11,433.54,410.38,421.96000000000004,429.52,86706.68627,416.07
2018-04-12,499.0,412.88,455.94,495.67,249766.38316,429.52
2018-04-13,530.0,480.22,505.11,495.11,251752.08782,495.67
2018-04-14,515.0,485.58,500.28999999999996,502.68,121283.3338,495.11
2018-04-15,535.0,502.51,518.755,533.88,108739.15395,502.68
2018-04-16,538.0,497.31,517.655,511.46,130359.52549,533.88
2018-04-17,521.2,500.02,510.61,502.56,96541.96382,511.46
2018-04-18,526.99,501.12,514.0550000000001,526.09,73161.95251,502.56
2018-04-19,571.61,521.03,546.3199999999999,568.14,112235.77328,526.09
2018-04-20,622.17,556.5,589.335,617.09,160209.03951,568.14
2018-04-21,624.5,570.23,597.365,604.87,159364.95353,617.09
2018-04-22,643.49,589.0,616.245,620.92,120127.3728,604.87
2018-04-23,649.11,618.02,633.565,645.09,77475.70793,620.92
2018-04-24,712.99,643.76,678.375,701.58,171437.66972,645.09
2018-04-25,703.3,593.83,648.565,618.0,341439.50428,701.58
2018-04-26,666.19,600.0,633.095,661.51,155754.00815,618.0
2018-04-27,686.82,635.73,661.2750000000001,643.46,134803.48389,661.51
2018-04-28,694.9,638.76,666.8299999999999,682.86,113128.36337,643.46
2018-04-29,700.49,665.28,682.885,690.85,110020.23869,682.86
2018-04-30,695.3,662.2,678.75,670.78,112494.9172,690.85
2018-05-01,675.6,627.58,651.59,672.0,133123.66675,670.78
2018-05-02,691.99,663.0,677.495,688.56,86185.5033,672.0
2018-05-03,792.08,685.39,738.735,779.0,229419.209,688.56
2018-05-04,810.0,756.91,783.4549999999999,785.99,179924.40215,779.0
2018-05-05,832.66,781.56,807.1099999999999,819.5,128631.18764,785.99
2018-05-06,839.99,752.49,796.24,794.3,166871.16002,819.5
2018-05-07,799.14,701.0,750.0699999999999,752.49,284237.06328,794.3
2018-05-08,777.0,720.02,748.51,748.99,135106.19621,752.49
2018-05-09,760.74,710.26,735.5,751.75,112353.37758,748.99
2018-05-10,769.88,720.0,744.94,722.52,102019.29933,751.75
2018-05-11,737.23,663.0,700.115,676.96,216953.54991,722.52
2018-05-12,690.2,633.2,661.7,684.11,166801.07487,676.96
2018-05-13,742.0,666.31,704.155,729.08,136022.39207,684.11
2018-05-14,743.9,686.0,714.95,727.49,183466.9224,729.08
2018-05-15,740.0,695.0,717.5,704.91,127191.21863,727.49
2018-05-16,712.84,673.52,693.1800000000001,706.29,118902.46895,704.91
2018-05-17,719.25,662.0,690.625,667.62,106723.38375,706.29
2018-05-18,694.9,656.0,675.45,692.6,106541.66307,667.62
2018-05-19,717.8,682.31,700.055,697.0,88828.85641,692.6
2018-05-20,729.88,688.4,709.14,716.16,86004.7409,697.0
2018-05-21,720.46,688.0,704.23,696.7,96085.15451,716.16
2018-05-22,699.6,637.32,668.46,640.99,107059.5769,696.7
2018-05-23,669.0,560.0,614.5,577.19,257099.77096,640.99
2018-05-24,612.1,550.0,581.05,602.18,195854.62497,577.19
2018-05-25,617.46,568.7,593.08,585.55,118076.26273,602.18
2018-05-26,607.62,578.32,592.97,586.0,77654.12532,585.55
2018-05-27,592.0,557.43,574.7149999999999,570.4,97097.26713,586.0
2018-05-28,576.2,506.11,541.155,511.5,153197.83278,570.4
2018-05-29,573.43,510.0,541.7149999999999,567.36,189082.83788,511.5
2018-05-30,585.83,541.2,563.5150000000001,557.19,122132.2701,567.36
2018-05-31,586.73,552.98,569.855,577.81,100101.52276,557.19
2018-06-01,590.26,564.93,577.595,579.0,83840.84162,577.81
2018-06-02,599.17,572.9,586.035,590.85,80258.14719,579.0
2018-06-03,628.81,590.1,609.4549999999999,619.66,84123.33235,590.85
2018-06-04,625.47,580.15,602.81,591.02,96339.44507,619.66
2018-06-05,614.0,570.36,592.1800000000001,609.05,89053.74351,591.02
2018-06-06,613.35,593.4,603.375,607.4,70152.92117,609.05
2018-06-07,618.0,598.24,608.12,605.16,60174.1888,607.4
2018-06-08,608.45,593.33,600.8900000000001,598.68,49228.00755,605.16
2018-06-09,608.97,591.0,599.985,592.87,38908.0653,598.68
2018-06-10,592.87,501.13,547.0,524.11,190350.58429,592.87
2018-06-11,535.51,508.66,522.085,531.69,145813.07819,524.11
